Alkene SMILES,Alkyl SMILES,alkene:alkyl halide(eq),Product SMILES,solvent SMILES,Additive SMILES,Metal SMILES,Ligand SMILES,Temperature/C,S/C,Yield,time(h),er,ee,Error
C=C(C1CCOCC1)C,BrCCC1=CC=CC=C1,2:01,CC(CCCc1ccccc1)C1CCOCC1,COCCOC,CCO[SiH](C)OCC.F[Cs],Br[Co]Br,Brc1ccc(CC(Cc2ccc(Br)cc2)(C2=N[C@H]3c4ccccc4C[C@H]3O2)C2=N[C@H]3c4ccccc4C[C@H]3O2)cc1,5,10,46,12,,60,4.470870972
C=C(C1CCOCC1)C,BrCCC1=CC=CC=C1,2:01,CC(CCCc1ccccc1)C1CCOCC1,COCCOC,CCO[SiH](C)OCC.F[Cs],Br[Co]Br,Brc1ccc2c(c1)[C@@H]1N=C(C(Cc3ccc(C45C[C@H]6C[C@H](C4)C[C@@H](C5)C6)cc3)(Cc3ccc(C45C[C@H]6C[C@H](C4)C[C@@H](C5)C6)cc3)C3=N[C@H]4c5cc(Br)ccc5C[C@H]4O3)O[C@@H]1C2,5,10,62,12,,85,0.142150879
C=C(C1CCOCC1)C,BrCCC1=CC=CC=C1,2:01,CC(CCCc1ccccc1)C1CCOCC1,COCCOC,CCO[SiH](C)OCC.F[Cs],Br[Co]Br,BrCCCCCCC(CCCCCCBr)(C1=N[C@H]2c3ccccc3C[C@H]2O1)C1=N[C@H]2c3ccccc3C[C@H]2O1,5,10,32,12,,61,0.153469086
C=C(C1CCOCC1)C,BrCCC1=CC=CC=C1,2:01,CC(CCCc1ccccc1)C1CCOCC1,COCCOC,CCO[SiH](C)OCC.F[Cs],Br[Co]Br,c1ccc([C@@H]2COC(C3(C4=N[C@H](c5ccccc5)CO4)CC3)=N2)cc1,5,10,13,12,,49,1.019485474
C=C(C1CCOCC1)C,BrCCC1=CC=CC=C1,2:01,CC(CCCc1ccccc1)C1CCOCC1,COCCOC,CCO[SiH](C)OCC.F[Cs],Br[Co]Br,c1ccc([C@@H]2COC(C3(C4=N[C@H](c5ccccc5)CO4)CCC3)=N2)cc1,5,10,7,12,,33,4.917892456
C=C(C1CCOCC1)C,BrCCC1=CC=CC=C1,2:01,CC(CCCc1ccccc1)C1CCOCC1,COCCOC,CCO[SiH](C)OCC.F[Cs],Br[Co]Br,c1ccc([C@@H]2COC(C3(C4=N[C@H](c5ccccc5)CO4)CCCC3)=N2)cc1,5,10,14,12,,49,0.975830078
C=C(C1CCOCC1)C,BrCCC1=CC=CC=C1,2:01,CC(CCCc1ccccc1)C1CCOCC1,COCCOC,CCO[SiH](C)OCC.F[Cs],Br[Co]Br,c1ccc([C@@H]2N=C(C3(C4=N[C@@H](c5ccccc5)[C@H](c5ccccc5)O4)Cc4ccccc4C3)O[C@H]2c2ccccc2)cc1,5,10,10,12,,28,2.570533752
C=C(C1CCOCC1)C,BrCCC1=CC=CC=C1,2:01,CC(CCCc1ccccc1)C1CCOCC1,COCCOC,CCO[SiH](C)OCC.F[Cs],Br[Co]Br,c1ccc([C@H]2COC(C3(C4=N[C@@H](c5ccccc5)CO4)Cc4ccccc4C3)=N2)cc1,5,10,3,12,,51,1.987808228
C=C(C1CCOCC1)C,BrCCC1=CC=CC=C1,2:01,CC(CCCc1ccccc1)C1CCOCC1,COCCOC,CCO[SiH](C)OCC.F[Cs],Br[Co]Br,c1ccc([C@H]2COC(C3(C4=N[C@@H](c5ccccc5)CO4)CCCCCC3)=N2)cc1,5,10,7,12,,30,7.722614288
C=C(C1CCOCC1)C,BrCCC1=CC=CC=C1,2:01,CC(CCCc1ccccc1)C1CCOCC1,COCCOC,CCO[SiH](C)OCC.F[Cs],Br[Co]Br,c1ccc([C@H]2N=C(C3(C4=N[C@H](c5ccccc5)[C@H](c5ccccc5)O4)CC3)O[C@H]2c2ccccc2)cc1,5,10,7,12,,24,1.98913002
